ID,Label,Type
Elchuiuical,Elchuiuical,Youtuber
Gonzalo Fonseca,Gonzalo Fonseca,Youtuber
Gonzalo Goette,Gonzalo Goette,Youtuber
Julián Serrano,Julián Serrano,Youtuber
Lionel Ferro,Lionel Ferro,Youtuber
Lucas Castel,Lucas Castel,Youtuber
Mariano Bondar,Mariano Bondar,Youtuber
Mica Suárez,Mica Suárez,Youtuber
Identidad y subjetividad,Identidad y subjetividad,Tema
Extimidad e intimidad compartida,Extimidad e intimidad compartida,Tema
Familia y vínculos afectivos,Familia y vínculos afectivos,Tema
Amistad y comunidad,Amistad y comunidad,Tema
"Amor, pareja y sexualidad","Amor, pareja y sexualidad",Tema
Vida cotidiana,Vida cotidiana,Tema
Humor y parodia,Humor y parodia,Tema
"Fiesta, salidas y consumo","Fiesta, salidas y consumo",Tema
"Escuela, estudios y futuro","Escuela, estudios y futuro",Tema
Cuerpo e imagen corporal,Cuerpo e imagen corporal,Tema
Tecnología y cultura digital,Tecnología y cultura digital,Tema
Viajes y experiencias,Viajes y experiencias,Tema
Crítica social y conflicto,Crítica social y conflicto,Tema
"Emociones, motivación y autoayuda","Emociones, motivación y autoayuda",Tema
Performance y teatralidad,Performance y teatralidad,Tema
"Música, danza y expresión artística","Música, danza y expresión artística",Tema
Glocalidad y referencias culturales,Glocalidad y referencias culturales,Tema
"Lenguaje, dialecto y léxico juvenil","Lenguaje, dialecto y léxico juvenil",Tema
Privado,Privado,Contexto
Público,Público,Contexto
Dormitorio,Dormitorio,Escenario
Sala del Hogar,Sala del Hogar,Escenario
Baño,Baño,Escenario
Exteriores domésticos,Exteriores domésticos,Escenario
Exteriores viajes,Exteriores viajes,Escenario
Interior,Interior,Escenario
Exterior,Exterior,Escenario
Sin_remera,Sin_remera,Vestimenta
Con_gorra,Con_gorra,Vestimenta
Accesorios,Accesorios,Vestimenta
Ropa_deportiva,Ropa_deportiva,Vestimenta
Cambia_ropa,Cambia_ropa,Vestimenta
Primer Plano,Primer Plano,Plano
Plano general,Plano general,Plano
Primerísimo PP,Primerísimo PP,Plano
Plano detalle,Plano detalle,Plano
Picado,Picado,Plano
Contrapicado,Contrapicado,Plano
Música de fondo,Música de fondo,Audio
Audios enlatados,Audios enlatados,Audio
Clips insertados,Clips insertados,Audio
Silencio,Silencio,Audio
Audio original,Audio original,Audio
Acompaña el relato,Acompaña el relato,Gestualidad
Expresividad facial,Expresividad facial,Gestualidad
Gestos con manos,Gestos con manos,Gestualidad
Corporalidad destacada,Corporalidad destacada,Gestualidad
Beboteo o coquetería,Beboteo o coquetería,Gestualidad
Violencia o agresividad,Violencia o agresividad,Gestualidad
Estado emocional alterado,Estado emocional alterado,Gestualidad
Cercanía o contacto físico,Cercanía o contacto físico,Gestualidad
